flow,material,2018,2030,2050,2075,2100
stock,Aluminium ,42017.98056,40931.42379,420461.1621,1579193.639,2564884.782
stock,Co,294.0575068,609.6180348,6913.181322,25978.16811,42193.19771
stock,Copper,3957.295343,7019.984797,78239.1193,293657.3843,476943.3326
stock,Electrolyte,34387.22486,119737.1992,1157282.18,4347105.361,7060477.673
stock,Graphite & carbon,1612.79906,5234.841323,55405.40806,208032.9509,337882.771
stock,Li,567.6364267,906.3194079,8367.081005,31364.86723,50942.16184
stock,Mn,2012.143091,2756.448498,23681.98102,88747.42765,144141.7172
stock,Nd,1316.121536,1330.883432,14585.3284,54808.35748,89018.58875
stock,Ni,1523.738325,5584.149011,64423.39579,241987.2959,393030.7086
stock,Pb,5607.067408,20424.52591,249602.7948,937950.7151,1523399.949
stock,Plastics,4919.173202,14110.67247,149003.4181,559639.2652,908954.3984
stock,Pt,2.7754E-26,0.058066732,4.434251909,16.66291339,27.06355567
stock,Steel,179228.4533,240688.2312,2439146.788,9128639.284,14825455.79
inflow,Aluminium ,962.2130357,1886.169687,43310.81127,65554.15633,75514.56022
inflow,Co,48.34955368,136.0861701,1068.840589,3870.796848,3949.325072
inflow,Copper,184.2017487,792.5754543,9794.993529,23430.82334,27565.02859
inflow,Electrolyte,3349.656822,6747.197701,127380.1026,230946.1075,287640.4545
inflow,Graphite & carbon,185.7920446,836.8561862,7231.174651,18116.52007,22043.90235
inflow,Li,33.36697885,180.9270873,1166.94966,3138.414439,3749.714479
inflow,Mn,130.1625632,354.001904,3730.749008,12147.38651,15386.37976
inflow,Nd,53.86891974,61.62401642,1657.036199,3395.862492,3799.207093
inflow,Ni,353.0521037,1214.319781,9334.357482,29259.44745,32411.1793
inflow,Pb,470.7257602,2810.934738,30772.85225,84579.00883,52235.23488
inflow,Plastics,516.8216542,1426.57126,18610.31855,46242.9893,47330.97369
inflow,Pt,2.6786E-26,0.057516607,0.669315236,1.926318125,1.601998091
inflow,Steel,3912.745712,7546.131025,247891.9171,370856.5494,379004.0557
outflow,Aluminium ,2575.661268,2512.745789,19129.23612,28587.38099,144852.9339
outflow,Co,34.43803394,53.09557115,625.3927499,3262.672107,5089.963922
outflow,Copper,246.0800441,402.6230026,4900.979818,16557.2818,40458.59021
outflow,Electrolyte,1991.115114,5200.125874,59013.77982,129184.4165,478511.3904
outflow,Graphite & carbon,110.6584557,230.5682402,3673.515627,13246.66228,31178.12863
outflow,Li,28.04027111,47.99979002,596.8283961,2404.192085,5126.870326
outflow,Mn,111.5395109,210.7229857,2227.857733,10069.89182,19283.06575
outflow,Nd,92.7420747,97.26202387,795.5600763,2112.849848,6205.710184
outflow,Ni,194.1176159,367.5838523,5225.177107,23594.75004,43036.25918
outflow,Pb,1218.459695,865.2449931,15162.7636,62622.45546,93418.39378
outflow,Plastics,476.7387887,720.942158,9261.688803,33142.3549,71903.38717
outflow,Pt,2.5367E-31,2.5905E-09,0.260801962,1.536254829,2.333626522
outflow,Steel,9023.683766,14433.74932,107856.1601,157250.2848,779792.6499
